time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations
283648,16.828678131103516,180.0,-0.03512534455367131,0.31845703125,1380,-1.1920928955078125e-07,0.022874683,0.2,-5.621755993366241,0.0003,5.8096795082092285,37.52649415433407,,,,,
284672,15.464117050170898,180.0,,,,,,,,,,,,,,,
285696,15.829540252685547,180.0,-0.032244007095141566,0.29560546875,1390,5.960464477539063e-08,0.02139997,0.2,-5.63288992792368,0.0003,41.67273712158203,46.69848533272743,,,,,
286720,14.750039100646973,180.0,,,,,,,,,,,,,,,
286720,,,,,,,,,,,,,180.0,15.092035270000004,341,840,140
287744,16.02016258239746,180.0,-0.034600116130604874,0.342919921875,1400,0.0,0.022836804,0.2,-5.650145041942596,0.0003,23.312461853027344,42.652969083189966,,,,,
288768,15.17041301727295,180.0,,,,,,,,,,,,,,,
289792,13.91535758972168,180.0,-0.03168160961795365,0.305908203125,1410,0.0,0.023139603,0.2,-5.623402552306652,0.0003,10.096433639526367,47.39371652305126,,,,,
290816,15.412257194519043,180.0,,,,,,,,,,,,,,,
291840,14.761999130249023,180.0,-0.03433335137233371,0.340673828125,1420,0.0,0.021633117,0.2,-5.619296999275685,0.0003,21.753028869628906,44.575598907470706,,,,,
292864,14.569318771362305,180.0,,,,,,,,,,,,,,,
293888,13.572827339172363,180.0,-0.03287854124937439,0.288525390625,1430,0.0,0.02204516,0.2,-5.609744301438331,0.0003,13.419569969177246,41.506227591633795,,,,,
294912,15.557840347290039,180.0,,,,,,,,,,,,,,,
295936,15.321603775024414,180.0,-0.0352728991289041,0.286328125,1440,0.0,0.022566667,0.2,-5.583717605471611,0.0003,40.689517974853516,42.14391311407089,,,,,
296960,16.21402931213379,180.0,,,,,,,,,,,,,,,
297984,15.921126365661621,180.0,-0.03253594014677219,0.31318359375,1450,0.0,0.021673955,0.2,-5.604498249292374,0.0003,14.763376235961914,34.21094237565994,,,,,
299008,15.84328556060791,180.0,,,,,,,,,,,,,,,
300032,14.396814346313477,180.0,-0.03424953176654526,0.320556640625,1460,0.0,0.024447449,0.2,-5.622672721743584,0.0003,41.72597885131836,42.90144404172897,,,,,
301056,14.785935401916504,180.0,,,,,,,,,,,,,,,
302080,13.927422523498535,180.0,-0.03152096886406071,0.305908203125,1470,-1.1920928955078125e-07,0.022104867,0.2,-5.631287783384323,0.0003,15.316940307617188,42.2547215372324,,,,,
303104,14.520475387573242,180.0,,,,,,,,,,,,,,,
304128,13.844520568847656,180.0,-0.03111341148032807,0.286572265625,1480,0.0,0.022936884,0.2,-5.6601689666509625,0.0003,15.477105140686035,34.40997161567211,,,,,
305152,15.359554290771484,180.0,,,,,,,,,,,,,,,
306176,15.08877944946289,180.0,-0.03487426825595321,0.298291015625,1490,0.0,0.021523295,0.2,-5.643951959908009,0.0003,21.601938247680664,41.865920847654344,,,,,
307200,14.637201309204102,180.0,,,,,,,,,,,,,,,
